ride_id,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,hour_of_day,is_peak_hour,day_of_week,solo_fare,cluster_size,shared_fare,rider_rating,driver_rating
ride_0,19.047144395720096,73.00719978180092,18.971794377100757,73.07242217901236,10.83,6,0,2,16.48,2,14.01,4.4,4.1
ride_1,19.061394722499934,72.88834743155742,19.17487629566185,72.93866049247627,13.68,13,0,5,23.16,3,16.21,4.7,4.7
ride_2,19.141288853636592,72.96216053975205,19.239370596059985,73.02312562396055,12.65,16,0,0,19.08,2,16.22,4.6,4.8
ride_3,19.159892952203514,72.91314856582157,19.07667418778931,72.93746555441446,9.6,1,0,6,14.88,2,12.65,3.9,5.0
ride_4,19.168953852232985,72.75708504298477,19.095789678015763,72.77895960464085,8.45,18,1,5,20.92,2,17.78,4.1,4.4
ride_5,19.060537409264402,72.93875508497315,19.136929310607446,72.99782071544686,10.52,13,0,0,17.35,2,14.74,3.5,4.4
ride_6,19.144486189624164,72.94862573153043,19.050049312550886,73.02948383287536,13.51,11,0,0,23.13,2,19.66,4.9,4.3
ride_7,19.003085395271043,72.89162963827255,19.08044615488793,72.98291895754335,12.89,8,1,1,34.82,2,29.6,3.6,4.3
ride_8,19.17658756954639,72.81509068752679,19.252624618861503,72.77097241455202,9.64,10,1,4,25.7,4,14.14,3.8,4.8
ride_9,18.97187063401804,72.8457045838947,18.99300265732843,72.7359483848741,11.78,19,1,0,31.51,1,31.51,4.1,4.6
ride_10,19.022576988375015,72.8945087208524,18.937305809264444,72.86922475691233,9.85,16,0,2,16.74,1,16.74,4.8,4.0
ride_11,19.159208125664588,72.76524843703932,19.10371940570039,72.73512652582109,6.93,1,0,0,12.07,4,6.64,3.8,4.9
ride_12,19.124092158152624,72.84196231486636,19.175682919920696,72.89060079142831,7.68,12,0,3,13.42,1,13.42,3.9,4.6
ride_13,18.99319782433869,72.75894923886652,19.071678404294406,72.67533718877894,12.39,3,0,5,20.17,3,14.12,4.2,4.6
ride_14,18.96843721637443,72.95791664233452,18.93750008682384,73.02879042111016,8.21,19,1,5,20.9,2,17.76,4.8,4.8
ride_15,19.061553410072737,72.81739776065972,19.008227197093692,72.7818238097631,7.01,4,0,6,11.62,1,11.62,4.4,4.6
ride_16,19.20290450789679,72.88157349350695,19.09413489040502,72.82154200346133,13.64,4,0,4,22.76,3,15.93,3.9,4.3
ride_17,18.985458805698066,72.94170924929944,18.90933774596313,73.05409645640817,14.54,6,0,6,22.22,1,22.22,3.8,4.1
ride_18,19.148041801883622,72.85811976797102,19.236151098483727,72.9604501834773,14.54,23,0,2,24.62,4,13.54,4.0,5.0
ride_19,18.97095733827535,73.02042474022478,18.853752923179396,73.12762891471223,17.23,23,0,6,29.58,3,20.71,4.7,4.7
ride_20,19.00044889152516,72.73371822805841,19.114532427657455,72.65994916809764,14.87,3,0,6,26.25,4,14.44,3.5,4.1
ride_21,18.954348896561907,72.94038195384164,19.062360883924878,72.86245917130385,14.54,21,0,1,24.92,2,21.18,4.8,4.9
ride_22,18.973435104662023,72.86644438308241,18.935158874550062,72.88926544792996,4.89,8,1,4,14.69,2,12.49,4.5,4.2
ride_23,18.95677925605223,73.01270748405335,18.839229268549847,72.92696198956145,15.88,21,0,5,27.33,1,27.33,4.7,4.2
